album_rank,album_name,artist_name,main_genre,release_date,total_year_end_score
43,"Need You Now","Lady Antebellum","contemporary country",2010,74366
44,"Crash My Party","Luke Bryan","contemporary country",2013,73861
45,"Shepherd Moons",Enya,celtic,1991,72016
46,"The Essential Michael Jackson","Michael Jackson",pop,2005,71365
47,"Hybrid Theory (Bonus Edition)","Linkin Park","alternative metal",2000,71275
48,Whitney,"Whitney Houston","dance pop",1987,71083
49,"No Fences : The Hits of Garth Brooks (Karaoke Version)","All American Karaoke",karaoke,2012,69107
50,"Sigh No More","Mumford & Sons",folk-pop,2009,66798
51,"Number Ones","Michael Jackson",pop,2003,66488
52,"Tailgates & Tanlines","Luke Bryan","contemporary country",2011,65590
53,Breathless,"Kenny G","smooth jazz",NULL,65559
54,19,Adele,"british soul",2008,65253
55,"Strummin' On Garth","Brooks Jefferson",-,2015,64659
56,"1984 (Remastered)","Van Halen","album rock",1984,64635
57,"2014 Forest Hills Drive","J. Cole","conscious hip hop",2014,64566
58,"The Fame","Lady Gaga","dance pop",2008,64444
59,"1989 (Deluxe)","Taylor Swift","dance pop",2014,64155
60,Montevallo,"Sam Hunt","contemporary country",2014,64143
61,"All the Right Reasons",Nickelback,"alternative metal",2005,62521
62,"Unorthodox Jukebox","Bruno Mars",pop,2012,61294
63,"The Very Best Of The Beach Boys: Sounds Of Summer","The Beach Boys","baroque pop",2003,60565
64,"Fiddler on the Roof (Original Broadway Cast Recording) (Delluxe Edition)","Original Broadway Cast of Fiddler on the Roof",-,2003,60523
65,"Appetite For Destruction","Guns N' Roses","glam metal",1987,59027
66,"Soul Provider","Michael Bolton","adult standards",1989,58993
67,Trilogy,"The Weeknd","canadian contemporary r&b",2012,58311
68,Millennium,"Backstreet Boys","boy band",1999,57846
69,Blurryface,"Twenty One Pilots","pop punk",2015,57711
70,"Off the Wall","Michael Jackson",pop,1979,56926
71,"If You're Reading This It's Too Late",Drake,"canadian hip hop",2015,56536
72,"Johnny's Greatest Hits","Johnny Mathis","adult standards",1958,56340
73,"The Beatles","The Beatles","british invasion",2018,56133
74,"Greatest Hits II","Kenny Chesney","contemporary country",2009,56005
75,"HOMECOMING: THE LIVE ALBUM",Beyoncé,"dance pop",2019,55613
76,"I AM...SASHA FIERCE",Beyoncé,"dance pop",2008,55366
77,"Get Lucky",Loverboy,"album rock",NULL,55180
78,"Nine Tonight (Live/Remastered)","Bob Seger","album rock",1981,54756
79,"It's Time","Michael Bublé","adult standards",2005,54593
80,"My World 2.0","Justin Bieber","canadian pop",2010,54591
81,"Beauty Behind The Madness","The Weeknd","canadian contemporary r&b",2015,54407
82,"Greatest Hits","Red Hot Chili Peppers","alternative rock",2003,54020
83,"Serious Hits...Live! (2019 Remaster)","Phil Collins","mellow gold",1990,53812
84,"Whipped Cream & Other Delights","Herb Alpert & The Tijuana Brass","adult standards",1965,53670
85,"Hangin' Tough","New Kids On The Block","boy band",1988,53540
86,"Nick Of Time","Bonnie Raitt","electric blues",NULL,52967
87,"The Beatles 1967 - 1970 (Remastered)","The Beatles","british invasion",1973,52913
88,"Greatest Hits So Far...","Zac Brown Band","contemporary country",2014,52906
89,Eliminator,"ZZ Top","album rock",1983,52494
90,"Greatest Hits","Kenny Rogers & The First Edition",-,1996,51970
91,"Loaded: The Best of Blake Shelton","Blake Shelton","contemporary country",2010,51826
92,Daughtry,Daughtry,"alternative metal",2006,50767
93,"John Denver's Greatest Hits, Volume 3","John Denver",folk,1984,50541
94,"If You Can Believe Your Eyes & Ears","The Mamas & The Papas","brill building pop",NULL,50161
95,"War (Remastered)",U2,"irish rock",1983,50144
96,"Breathe (U.S. Version)","Faith Hill","contemporary country",1999,50111
97,"Heartbeat City","The Cars","album rock",1984,50073
98,"The Beatles 1962 - 1966 (Remastered)","The Beatles","british invasion",1973,49928
99,"Greatest Hits","Simon & Garfunkel",folk,1972,49921
100,"Beaches: Original Soundtrack Recording","Bette Midler","adult standards",NULL,49843
